category,city,container,customer_id,customer_name,customer_segment,department,item,item_id,order_date,order_id,order_priority,postal_code,region,row_id,ship_date,ship_mode,state,days_to_ship,discount,kpi_-_profit_ratio,number_of_records,order_quantity,product_base_margin,profit,profit_ratio,sales,shipping_cost,unit_price,profit_margin,profit_per_unit
Telephones and Communication,Fort Dodge,Small Box,2206,Bobby Powell,Consumer,Technology,Item 10527,10527,2013-01-03,86258,High,50501,Central,18165,2013-01-05,Regular Air,Iowa,2,0.01,Poor,1,3,0.59,-75,-0.1361,551,6,206,-0.13611615245009073,-25.0
Bookcases,Bristol,Jumbo Box,783,Carlos Byrd,Small Business,Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",11202,2013-01-04,90961,Low,6010,East,24773,2013-01-04,Delivery Truck,Connecticut,0,0.02,Poor,1,6,0.62,-135,-0.2195,615,36,101,-0.21951219512195122,-22.5
Bookcases,Coachella,Jumbo Box,1793,Derek Jernigan,Home Office,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",11234,2013-01-04,87853,Critical,92236,West,21284,2013-01-05,Delivery Truck,California,1,0.04,Poor,1,8,0.62,-13706,-1.9667,6969,45,881,-1.9667097144497059,-1713.25
Pens & Art Supplies,Petersburg,Wrap Bag,2418,Kyle Fink,Consumer,Office Supplies,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",10777,2013-01-04,86750,Critical,23805,South,20325,2013-01-05,Regular Air,Virginia,1,0.03,Poor,1,4,0.57,-1474,-163.7778,9,1,2,-163.77777777777777,-368.5
Telephones and Communication,Hilton Head Island,Small Box,799,Lee McKenna Gregory,Consumer,Technology,Accessory35,11124,2013-01-04,89909,Not Specified,29915,South,20003,2013-01-05,Regular Air,South Carolina,1,0.03,Poor,1,1,0.55,-211,-6.8065,31,1,36,-6.806451612903226,-211.0
Computer Peripherals,Herndon,Small Pack,3285,Ricky Garner,Consumer,Technology,BASF Silver 74 Minute CD-R,11188,2013-01-04,90750,Not Specified,20170,South,20350,2013-01-05,Regular Air,Virginia,1,0.06,Acceptable,1,7,0.51,80,6.6667,12,2,2,6.666666666666667,11.428571428571429
Chairs & Chairmats,Hilton Head Island,Jumbo Drum,799,Lee McKenna Gregory,Consumer,Furniture,Novimex Swivel Fabric Task Chair,10413,2013-01-04,89909,Not Specified,29915,South,20001,2013-01-06,Delivery Truck,South Carolina,2,0.01,Poor,1,6,0.74,131,0.1367,958,30,151,0.13674321503131523,21.833333333333332
Office Furnishings,Corvallis,Small Pack,3347,Carrie McIntosh,Consumer,Furniture,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,10414,2013-01-04,89355,Medium,97330,West,18948,2013-01-06,Express Air,Oregon,2,0.05,Poor,1,5,0.37,-93,-2.7353,34,5,7,-2.735294117647059,-18.6
Storage & Organization,Hilton Head Island,Medium Box,799,Lee McKenna Gregory,Consumer,Office Supplies,Eldon Portable Mobile Manager,10256,2013-01-04,89909,Not Specified,29915,South,20002,2013-01-06,Express Air,South Carolina,2,0.01,Poor,1,12,0.58,-89,-0.2412,369,14,28,-0.24119241192411925,-7.416666666666667
Binders and Binder Accessories,Corvallis,Small Box,3347,Carrie McIntosh,Consumer,Office Supplies,GBC VeloBinder Strips,11038,2013-01-04,89355,Medium,97330,West,18947,2013-01-06,Express Air,Oregon,2,0.07,Acceptable,1,1,0.35,126,5.7273,22,6,8,5.7272727272727275,126.0
Paper,Herndon,Small Box,3285,Ricky Garner,Consumer,Office Supplies,Xerox 19,11261,2013-01-04,90750,Not Specified,20170,South,20351,2013-01-06,Regular Air,Virginia,2,0.01,Acceptable,1,9,0.4,896,3.1111,288,5,31,3.111111111111111,99.55555555555556
Pens & Art Supplies,San Clemente,Wrap Bag,1782,Lawrence Dennis,Home Office,Office Supplies,Newell 342,11142,2013-01-04,89856,High,92672,West,21283,2013-01-06,Regular Air,California,2,0.03,Poor,1,7,0.56,-91,-3.64,25,4,3,-3.64,-13.0
Storage & Organization,Fairfax,Large Box,2146,Courtney Boyd,Corporate,Office Supplies,Tennsco Commercial Shelving,10704,2013-01-04,87071,Low,20151,South,23795,2013-01-08,Regular Air,Virginia,4,0.05,Acceptable,1,2,0.84,53,1.0,53,35,20,1.0,26.5
Binders and Binder Accessories,Las Vegas,Small Box,651,Leah Clapp,Consumer,Office Supplies,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",11094,2013-01-05,91575,High,89115,West,24199,2013-01-06,Regular Air,Nevada,1,0.08,Poor,1,12,0.37,-247,-1.2865,192,13,16,-1.2864583333333333,-20.583333333333332
Binders and Binder Accessories,Boston,Small Box,1606,Bob Ross,Home Office,Office Supplies,Avery Reinforcements for Hole-Punch Pages,10404,2013-01-05,87993,Medium,2129,East,18450,2013-01-06,Regular Air,Massachusetts,1,0.05,Poor,1,1,0.4,-14,-3.5,4,5,2,-3.5,-14.0
Copiers and Fax,Boston,Large Box,1606,Bob Ross,Home Office,Technology,Canon PC1060 Personal Laser Copier,10566,2013-01-05,87993,Medium,2129,East,18451,2013-01-06,Express Air,Massachusetts,1,0.07,Poor,1,1,0.41,-2870,-4.0594,707,24,700,-4.0594059405940595,-2870.0
Office Machines,Boston,Large Box,1606,Bob Ross,Home Office,Technology,Polycom ViewStation™ ISDN Videoconferencing Unit,10538,2013-01-05,87993,Medium,2129,East,18452,2013-01-06,Regular Air,Massachusetts,1,0.07,Poor,1,2,0.39,78,0.0059,13121,24,6783,0.0059446688514594925,39.0
Telephones and Communication,Norman,Small Box,2630,Betsy Puckett,Small Business,Technology,i1000,10203,2013-01-05,85915,High,73071,Central,22540,2013-01-06,Regular Air,Oklahoma,1,0.07,Poor,1,3,0.58,-139,-0.8373,166,6,66,-0.8373493975903614,-46.333333333333336
Computer Peripherals,Lubbock,Small Box,1367,James Hunter,Consumer,Technology,Keytronic French Keyboard,10679,2013-01-05,90513,Medium,79424,Central,20539,2013-01-08,Regular Air,Texas,3,0.03,Poor,1,1,0.65,-326,-4.1266,79,15,74,-4.1265822784810124,-326.0
Office Furnishings,Killingly Center,Small Pack,2908,Robyn Lyon,Home Office,Furniture,"Executive Impressions 14"" Two-Color Numerals Wall Clock",10593,2013-01-06,88156,High,6241,East,18612,2013-01-06,Regular Air,Connecticut,0,0.03,Acceptable,1,1,0.44,17,0.68,25,9,23,0.68,17.0
Labels,Killingly Center,Small Box,2908,Robyn Lyon,Home Office,Office Supplies,Avery 491,11115,2013-01-06,88156,High,6241,East,18611,2013-01-06,Regular Air,Connecticut,0,0.07,Acceptable,1,4,0.39,11,0.6875,16,1,4,0.6875,2.75
Appliances,Myrtle Beach,Small Box,2099,Nathan Fox,Home Office,Office Supplies,Acco 6 Outlet Guardian Premium Surge Suppressor,10978,2013-01-06,87888,Not Specified,29577,South,22234,2013-01-07,Regular Air,South Carolina,1,0.07,Poor,1,6,0.58,-46,-0.5412,85,4,15,-0.5411764705882353,-7.666666666666667
Binders and Binder Accessories,Irving,Small Box,2868,Eugene Clayton,Corporate,Office Supplies,GBC DocuBind TL300 Electric Binding System,10548,2013-01-06,85826,High,75061,Central,18998,2013-01-08,Regular Air,Texas,2,0.03,Acceptable,1,6,0.38,3602,0.69,5220,20,897,0.6900383141762452,600.3333333333334
Pens & Art Supplies,Pasadena,Wrap Bag,2164,Harry Sellers,Small Business,Office Supplies,Newell 337,10963,2013-01-07,88794,Not Specified,91104,West,22451,2013-01-07,Regular Air,California,0,0.05,Poor,1,11,0.56,-145,-4.0278,36,4,3,-4.027777777777778,-13.181818181818182
Labels,Lawton,Small Box,1749,Sherri P Stephens,Home Office,Office Supplies,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",11156,2013-01-07,87243,Not Specified,73505,Central,20571,2013-01-08,Regular Air,Oklahoma,1,0.02,Poor,1,2,0.39,-48,-4.8,10,7,4,-4.8,-24.0
Labels,Atlanta,Small Box,1745,Herbert Holden,Home Office,Office Supplies,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",11156,2013-01-07,18561,Not Specified,30305,South,2571,2013-01-08,Regular Air,Georgia,1,0.02,Poor,1,9,0.39,-52,-1.1304,46,7,4,-1.1304347826086956,-5.777777777777778
Binders and Binder Accessories,Pasadena,Small Box,2164,Harry Sellers,Small Business,Office Supplies,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",10406,2013-01-07,88794,Not Specified,91104,West,22450,2013-01-08,Regular Air,California,1,0.01,Poor,1,3,0.36,-67,-3.5263,19,8,5,-3.526315789473684,-22.333333333333332
Pens & Art Supplies,Gilroy,Small Pack,833,Gerald Love,Corporate,Office Supplies,Boston 16765 Mini Stand Up Battery Pencil Sharpener,10706,2013-01-07,89770,High,95020,West,19173,2013-01-09,Express Air,California,2,0.0,Poor,1,11,0.59,-204,-1.4676,139,9,12,-1.4676258992805755,-18.545454545454547
Pens & Art Supplies,Augusta,Wrap Bag,2165,Melanie Knight,Small Business,Office Supplies,Newell 339,11018,2013-01-07,88794,Not Specified,4330,East,22449,2013-01-09,Regular Air,Maine,2,0.09,Poor,1,6,0.59,-5,-0.3125,16,1,3,-0.3125,-0.8333333333333334
Pens & Art Supplies,Madison,Wrap Bag,2555,Karl Knowles,Home Office,Office Supplies,12 Colored Short Pencils,10915,2013-01-07,86527,Low,53711,Central,23666,2013-01-12,Regular Air,Wisconsin,5,0.1,Poor,1,12,0.58,-88,-2.9333,30,2,3,-2.933333333333333,-7.333333333333333
Telephones and Communication,King of Prussia,Small Box,358,Chris F Brandt,Corporate,Technology,M70,11143,2013-01-07,91130,Low,19406,East,24627,2013-01-14,Regular Air,Pennsylvania,7,0.04,Poor,1,1,0.59,-628,-5.8148,108,9,126,-5.814814814814815,-628.0
Bookcases,East Lansing,Jumbo Box,1976,Sherri F Vogel,Consumer,Furniture,"Hon Metal Bookcases, Putty",10772,2013-01-08,89039,Critical,48823,Central,25731,2013-01-09,Delivery Truck,Michigan,1,0.05,Poor,1,8,0.56,-851,-1.5417,552,47,71,-1.5416666666666667,-106.375
Pens & Art Supplies,Denton,Wrap Bag,896,Jennifer Siegel,Corporate,Office Supplies,Newell 337,10963,2013-01-08,90166,Critical,76201,Central,20046,2013-01-09,Regular Air,Texas,1,0.06,Poor,1,5,0.56,-67,-3.9412,17,4,3,-3.9411764705882355,-13.4
Pens & Art Supplies,Washington,Wrap Bag,894,Gail Rankin Cole,Corporate,Office Supplies,Newell 337,10963,2013-01-08,14596,Critical,20024,East,2046,2013-01-09,Regular Air,District of Columbia,1,0.06,Poor,1,19,0.56,-86,-1.3651,63,4,3,-1.3650793650793651,-4.526315789473684
Paper,Lehi,Small Box,194,Tammy Goldman,Corporate,Office Supplies,Xerox 1996,10513,2013-01-08,90431,Not Specified,84043,West,24273,2013-01-09,Regular Air,Utah,1,0.02,Poor,1,4,0.37,-106,-3.7857,28,9,6,-3.7857142857142856,-26.5
Computer Peripherals,Pittsburgh,Small Pack,2797,Cameron Kendall,Consumer,Technology,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",10115,2013-01-08,87552,Medium,15122,East,22787,2013-01-09,Regular Air,Pennsylvania,1,0.0,Poor,1,8,0.79,-159,-3.6136,44,5,5,-3.6136363636363638,-19.875
Office Furnishings,Denton,Wrap Bag,896,Jennifer Siegel,Corporate,Furniture,Document Clip Frames,11128,2013-01-08,90166,Critical,76201,Central,20045,2013-01-10,Regular Air,Texas,2,0.01,Acceptable,1,6,0.43,34,0.68,50,1,8,0.68,5.666666666666667
Office Furnishings,Washington,Wrap Bag,894,Gail Rankin Cole,Corporate,Furniture,Document Clip Frames,11128,2013-01-08,14596,Critical,20024,East,2045,2013-01-10,Regular Air,District of Columbia,2,0.01,Poor,1,24,0.43,29,0.1457,199,1,8,0.1457286432160804,1.2083333333333333
Pens & Art Supplies,East Lansing,Wrap Bag,1976,Sherri F Vogel,Consumer,Office Supplies,Newell 309,10773,2013-01-08,89039,Critical,48823,Central,25732,2013-01-10,Regular Air,Michigan,2,0.05,Acceptable,1,12,0.55,99,0.6923,143,2,12,0.6923076923076923,8.25
Computer Peripherals,Hazelwood,Small Box,2132,Philip Hawkins,Home Office,Technology,"Fellowes Internet Keyboard, Platinum",10397,2013-01-08,90078,Low,63042,Central,21964,2013-01-12,Express Air,Missouri,4,0.05,Poor,1,11,0.74,-191,-0.5719,334,9,30,-0.5718562874251497,-17.363636363636363
Office Machines,Pleasure Ridge Park,Jumbo Drum,2346,Sylvia Kumar,Corporate,Technology,Panasonic KX-P3200 Dot Matrix Printer,10111,2013-01-08,89503,Low,40258,South,20776,2013-01-13,Delivery Truck,Kentucky,5,0.03,Poor,1,12,0.57,-49,-0.0132,3707,15,298,-0.013218235770164554,-4.083333333333333
Paper,Trenton,Small Box,470,Tony Doyle,Small Business,Office Supplies,Xerox 188,11195,2013-01-09,88060,Not Specified,8601,East,22758,2013-01-09,Regular Air,New Jersey,0,0.03,Acceptable,1,5,0.36,23,0.3833,60,5,11,0.38333333333333336,4.6
Office Machines,Bellingham,Jumbo Drum,466,Marc Nash,Small Business,Technology,Panasonic KX-P3200 Dot Matrix Printer,10111,2013-01-09,88060,Not Specified,2019,East,22754,2013-01-09,Delivery Truck,Massachusetts,0,0.08,Acceptable,1,5,0.57,497,0.4387,1133,15,298,0.4386584289496911,99.4
Office Furnishings,Beverly,Large Box,467,Maria Thomas,Small Business,Furniture,"Tensor ""Hersey Kiss"" Styled Floor Lamp",11221,2013-01-09,88060,Not Specified,1915,East,22755,2013-01-10,Regular Air,Massachusetts,1,0.02,Poor,1,11,0.73,-557,-3.8681,144,14,13,-3.8680555555555554,-50.63636363636363
Appliances,Hanson,Medium Box,468,Craig Bennett,Small Business,Office Supplies,Holmes Odor Grabber,10844,2013-01-09,88060,Not Specified,2341,East,22756,2013-01-10,Regular Air,Massachusetts,1,0.06,Poor,1,5,0.52,-28,-0.3836,73,7,14,-0.3835616438356164,-5.6
Office Furnishings,Hawthorne,Small Box,469,Marion Bowling,Small Business,Furniture,Eldon Image Series Black Desk Accessories,11132,2013-01-09,88060,Not Specified,7506,East,22757,2013-01-11,Express Air,New Jersey,2,0.05,Poor,1,7,0.49,-129,-3.9091,33,7,4,-3.909090909090909,-18.428571428571427
Office Machines,Lebanon,Jumbo Box,166,Vicki Hauser,Consumer,Technology,Okidata ML320 Series Turbo Dot Matrix Printers,10196,2013-01-09,89426,Low,37087,South,21040,2013-01-16,Delivery Truck,Tennessee,7,0.08,Poor,1,5,0.56,29,0.0158,1840,12,400,0.01576086956521739,5.8
Storage & Organization,Florence,Small Box,750,Jordan Wilkinson,Corporate,Office Supplies,Fellowes Super Stor/Drawer®,10804,2013-01-10,91200,Not Specified,41042,South,20855,2013-01-11,Regular Air,Kentucky,1,0.09,Poor,1,10,0.67,-225,-0.8721,258,20,28,-0.872093023255814,-22.5
Chairs & Chairmats,Englewood,Jumbo Drum,1424,Robyn Zhou,Home Office,Furniture,Global Leather Executive Chair,11104,2013-01-10,89448,Low,80112,West,19024,2013-01-12,Delivery Truck,Colorado,2,0.05,Acceptable,1,3,0.55,451,0.4422,1020,39,351,0.442156862745098,150.33333333333334
Pens & Art Supplies,Gaithersburg,Wrap Bag,2776,April Henson,Consumer,Office Supplies,Prang Dustless Chalk Sticks,10905,2013-01-10,91228,Critical,20877,East,24123,2013-01-12,Regular Air,Maryland,2,0.04,Poor,1,8,0.35,2,0.1429,14,1,2,0.14285714285714285,0.25
Computer Peripherals,Fort Thomas,Small Box,2069,Elsie Boykin,Consumer,Technology,Targus USB Numeric Keypad,10176,2013-01-10,88554,Medium,41075,South,21901,2013-01-12,Regular Air,Kentucky,2,0.1,Acceptable,1,3,0.74,67,0.5583,120,7,41,0.5583333333333333,22.333333333333332
Chairs & Chairmats,Gaithersburg,Jumbo Drum,2776,April Henson,Consumer,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,10569,2013-01-10,91228,Critical,20877,East,24122,2013-01-13,Delivery Truck,Maryland,3,0.03,Acceptable,1,11,0.61,2692,0.6899,3902,30,351,0.6899026140440799,244.72727272727272
Envelopes,Englewood,Small Box,1424,Robyn Zhou,Home Office,Office Supplies,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",11099,2013-01-10,89448,Low,80112,West,19025,2013-01-14,Regular Air,Colorado,4,0.0,Acceptable,1,7,0.38,45,0.6923,65,1,9,0.6923076923076923,6.428571428571429
Rubber Bands,Englewood,Wrap Bag,1424,Robyn Zhou,Home Office,Office Supplies,"Brites Rubber Bands, 1 1/2 oz. Box",10966,2013-01-10,89448,Low,80112,West,19026,2013-01-14,Regular Air,Colorado,4,0.02,Poor,1,11,0.83,-21,-0.913,23,1,2,-0.9130434782608695,-1.9090909090909092
Office Furnishings,College Park,Small Box,2338,Lynn Hines,Home Office,Furniture,Eldon® Wave Desk Accessories,11088,2013-01-11,91480,Critical,20740,East,25241,2013-01-11,Regular Air,Maryland,0,0.06,Poor,1,4,0.43,-83,-9.2222,9,5,2,-9.222222222222221,-20.75
